"timestamp","price","size","side","vix"
1441915374283792,195150,8,"A",2460
1441915377210329,195150,1,"B",2460
1441915378076409,195150,7,"B",2460
1441915380012128,195150,1,"B",2460
1441915380453586,195175,1,"A",2460
1441915380891317,195150,1,"B",2460
1441915381110355,195125,2,"B",2460
1441915385679398,195150,1,"A",2460
1441915386775749,195150,48,"A",2460
1441915387839334,195175,64,"B",2460
1441915389653107,195200,1,"A",2460
1441915390790032,195200,4,"A",2460
1441915392105138,195175,1,"B",2460
1441915392988935,195200,5,"A",2460
1441915394995055,195200,1,"A",2460
1441915395802410,195175,1,"B",2460
1441915396903156,195200,3,"B",2460
1441915399408250,195200,1,"B",2460
1441915400337717,195225,2,"A",2460
1441915401433928,195200,2,"A",2460
1441915403194765,195175,1,"B",2460
1441915403428544,195200,5,"B",2460
1441915405390937,195200,4,"A",2460
1441915407432984,195175,1,"B",2460
1441915408654453,195175,1,"B",2460
1441915409355582,195175,6,"B",2460
1441915411741718,195200,1,"B",2460
1441915413442567,195200,2,"B",2460
1441915414534431,195225,2,"A",2460
1441915415851661,195225,7,"A",2460
1441915416298113,195200,4,"B",2460
1441915417255835,195200,15,"A",2460
1441915419314096,195200,2,"A",2460
1441915420878727,195175,1,"A",2460
1441915422014534,195150,2,"A",2455
1441915423991832,195125,1,"B",2455
1441915425350534,195125,1,"B",2455
1441915426113372,195150,1,"A",2455
1441915427396578,195125,1,"A",2455
1441915428293725,195100,1,"B",2455
1441915429597389,195150,1,"A",2455
1441915430708112,195125,1,"B",2455
1441915431802676,195150,2,"A",2455
1441915432249957,195125,2,"B",2455
1441915432899220,195125,2,"A",2455
1441915433557754,195125,26,"A",2455
1441915435540631,195100,22,"B",2455
1441915437806362,195100,1,"B",2455
1441915438903614,195100,25,"A",2455
1441915440488555,195075,1,"B",2455
1441915441146545,195075,1,"B",2455
1441915443118366,195125,1,"A",2455
1441915446263378,195075,1,"B",2455
1441915446498830,195075,100,"B",2455
1441915448615263,195075,3,"B",2455
1441915450591971,195075,1,"B",2455
1441915453060248,195100,2,"B",2455
1441915455546806,195100,1,"B",2455
1441915455766611,195100,27,"A",2455
1441915458576019,195075,2,"B",2455
1441915459015075,195075,13,"B",2455
1441915460977159,195075,1,"B",2455
1441915462762959,195075,1,"B",2455
1441915465424861,195100,1,"A",2455
1441915466083587,195075,1,"B",2455
1441915467511364,195100,1,"A",2455
1441915468393918,195100,3,"B",2455
